GO:0000001	mitochondrion inheritance
GO:0043045	DNA methylation involved in embryo development
GO:0043046	DNA methylation involved in gamete generation
GO:0043047	single-stranded telomeric DNA binding
GO:0043048	dolichyl monophosphate biosynthetic process
GO:0043049	otic placode formation
GO:0043050	pharyngeal pumping
GO:0043051	regulation of pharyngeal pumping
GO:0043052	thermotaxis
GO:0043053	dauer entry
GO:0043054	dauer exit
GO:0043055	maintenance of dauer
GO:0043056	forward locomotion
GO:0043057	backward locomotion
GO:0043058	regulation of backward locomotion
GO:0043059	regulation of forward locomotion
GO:0043060	meiotic metaphase I plate congression
GO:0043062	extracellular structure organization
GO:0043063	intercellular bridge organization
GO:0043065	positive regulation of apoptotic process
GO:0043066	negative regulation of apoptotic process
GO:0043067	regulation of programmed cell death
GO:0043068	positive regulation of programmed cell death
GO:0043069	negative regulation of programmed cell death
GO:0043073	germ cell nucleus
GO:0043076	megasporocyte nucleus
GO:0043078	polar nucleus
GO:0043083	synaptic cleft
GO:0043084	penile erection
GO:0043085	positive regulation of catalytic activity
GO:0043086	negative regulation of catalytic activity
GO:0043087	regulation of GTPase activity
GO:0043090	amino acid import
GO:0043093	FtsZ-dependent cytokinesis
GO:0043094	cellular metabolic compound salvage
GO:0043095	regulation of GTP cyclohydrolase I activity
GO:0043096	purine nucleobase salvage
GO:0043097	pyrimidine nucleoside salvage
GO:0043098	purine deoxyribonucleoside salvage
GO:0043100	pyrimidine nucleobase salvage
GO:0043101	purine-containing compound salvage
GO:0043102	amino acid salvage
GO:0043103	hypoxanthine salvage
GO:0043104	positive regulation of GTP cyclohydrolase I activity
GO:0043105	negative regulation of GTP cyclohydrolase I activity
GO:0043107	type IV pilus-dependent motility
GO:0043110	rDNA spacer replication fork barrier binding
GO:0043111	replication fork arrest
GO:0043112	receptor metabolic process
GO:0043113	receptor clustering
GO:0043114	regulation of vascular permeability
GO:0043115	precorrin-2 dehydrogenase activity
GO:0043116	negative regulation of vascular permeability
GO:0043117	positive regulation of vascular permeability
GO:0043120	tumor necrosis factor binding
GO:0043121	neurotrophin binding
GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling
GO:0043124	negative regulation of I-kappaB kinase/NF-kappaB signaling
GO:0043125	ErbB-3 class receptor binding
GO:0043126	regulation of 1-phosphatidylinositol 4-kinase activity
GO:0043128	positive regulation of 1-phosphatidylinositol 4-kinase activity
GO:0043129	surfactant homeostasis
GO:0043130	ubiquitin binding
GO:0043132	NAD transport
GO:0043134	regulation of hindgut contraction
GO:0043135	5-phosphoribosyl 1-pyrophosphate pyrophosphatase activity
GO:0043136	glycerol-3-phosphatase activity
GO:0043137	DNA replication, removal of RNA primer
GO:0043138	3'-5' DNA helicase activity
GO:0043139	5'-3' DNA helicase activity
GO:0043143	regulation of translation by machinery localization
GO:0043144	snoRNA processing
GO:0043149	stress fiber assembly
GO:0043150	DNA synthesis involved in double-strand break repair via homologous recombination
GO:0043152	induction of bacterial agglutination
GO:0043153	entrainment of circadian clock by photoperiod
GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0043155	negative regulation of photosynthesis, light reaction
GO:0043156	chromatin remodeling in response to cation stress
GO:0043157	response to cation stress
GO:0043158	heterocyst differentiation
GO:0043159	acrosomal matrix
GO:0043160	acrosomal lumen
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
GO:0043163	cell envelope organization
GO:0043164	Gram-negative-bacterium-type cell wall biogenesis
GO:0043165	Gram-negative-bacterium-type cell outer membrane assembly
GO:0043167	ion binding
GO:0043168	anion binding
GO:0043169	cation binding
GO:0043170	macromolecule metabolic process
GO:0043171	peptide catabolic process
GO:0043173	nucleotide salvage
GO:0043174	nucleoside salvage
GO:0043175	RNA polymerase core enzyme binding
GO:0043176	amine binding
GO:0043177	organic acid binding
GO:0043178	alcohol binding
GO:0043179	rhythmic excitation
GO:0043181	vacuolar sequestering
GO:0043183	vascular endothelial growth factor receptor 1 binding
GO:0043184	vascular endothelial growth factor receptor 2 binding
GO:0043185	vascular endothelial growth factor receptor 3 binding
GO:0043186	P granule
GO:0043187	cell septum surface
GO:0043188	cell septum edging
GO:0043189	H4/H2A histone acetyltransferase complex
GO:0043190	ATP-binding cassette (ABC) transporter complex
GO:0043194	axon initial segment
GO:0043195	terminal bouton
GO:0043196	varicosity
GO:0043197	dendritic spine
GO:0043198	dendritic shaft
GO:0043199	sulfate binding
GO:0043200	response to amino acid
GO:0043201	response to leucine
GO:0043202	lysosomal lumen
GO:0043203	axon hillock
GO:0043204	perikaryon
GO:0043207	response to external biotic stimulus
GO:0043208	glycosphingolipid binding
GO:0043209	myelin sheath
GO:0043210	alkanesulfonate binding
GO:0043211	ATPase-coupled carbohydrate transmembrane transporter activity
GO:0043213	bacteriocin transport
GO:0043215	daunorubicin transport
GO:0043217	myelin maintenance
GO:0043218	compact myelin
GO:0043219	lateral loop
GO:0043220	Schmidt-Lanterman incisure
GO:0043221	SMC family protein binding
GO:0043224	nuclear SCF ubiquitin ligase complex
GO:0043225	ATPase-coupled inorganic anion transmembrane transporter activity
GO:0043226	organelle
GO:0043227	membrane-bounded organelle
GO:0043228	non-membrane-bounded organelle
GO:0043229	intracellular organelle
GO:0043230	extracellular organelle
GO:0043231	intracellular membrane-bounded organelle
GO:0043232	intracellular non-membrane-bounded organelle
GO:0043233	organelle lumen
GO:0043235	receptor complex
GO:0043236	laminin binding
GO:0043237	laminin-1 binding
GO:0043240	Fanconi anaemia nuclear complex
GO:0043242	negative regulation of protein complex disassembly
GO:0043243	positive regulation of protein complex disassembly
GO:0043244	regulation of protein complex disassembly
GO:0043245	extraorganismal space
GO:0043247	telomere maintenance in response to DNA damage
GO:0043248	proteasome assembly
GO:0043249	erythrocyte maturation
GO:0043250	sodium-dependent organic anion transmembrane transporter activity
GO:0043251	sodium-dependent organic anion transport
GO:0043252	sodium-independent organic anion transport
GO:0043254	regulation of protein complex assembly
GO:0043255	regulation of carbohydrate biosynthetic process
GO:0043256	laminin complex
GO:0043257	laminin-8 complex
GO:0043259	laminin-10 complex
GO:0043260	laminin-11 complex
GO:0043262	adenosine-diphosphatase activity
GO:0043264	extracellular non-membrane-bounded organelle
GO:0043266	regulation of potassium ion transport
GO:0043267	negative regulation of potassium ion transport
GO:0043268	positive regulation of potassium ion transport
GO:0043269	regulation of ion transport
GO:0043270	positive regulation of ion transport
GO:0043271	negative regulation of ion transport
GO:0043273	CTPase activity
GO:0043274	phospholipase binding
GO:0043276	anoikis
GO:0043277	apoptotic cell clearance
GO:0043278	response to morphine
GO:0043279	response to alkaloid
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0043282	pharyngeal muscle development
GO:0043288	apocarotenoid metabolic process
GO:0043289	apocarotenoid biosynthetic process
GO:0043290	apocarotenoid catabolic process
GO:0043291	RAVE complex
GO:0043292	contractile fiber
GO:0043293	apoptosome
GO:0043295	glutathione binding
GO:0043296	apical junction complex
GO:0043297	apical junction assembly
GO:0043299	leukocyte degranulation
GO:0043300	regulation of leukocyte degranulation
GO:0043301	negative regulation of leukocyte degranulation
GO:0043302	positive regulation of leukocyte degranulation
GO:0043303	mast cell degranulation
GO:0043304	regulation of mast cell degranulation
GO:0043305	negative regulation of mast cell degranulation
GO:0043306	positive regulation of mast cell degranulation
GO:0043307	eosinophil activation
GO:0043308	eosinophil degranulation
GO:0043309	regulation of eosinophil degranulation
GO:0043310	negative regulation of eosinophil degranulation
GO:0043311	positive regulation of eosinophil degranulation
GO:0043312	neutrophil degranulation
GO:0043313	regulation of neutrophil degranulation
GO:0043314	negative regulation of neutrophil degranulation
GO:0043315	positive regulation of neutrophil degranulation
GO:0043316	cytotoxic T cell degranulation
GO:0043317	regulation of cytotoxic T cell degranulation
GO:0043318	negative regulation of cytotoxic T cell degranulation
GO:0043320	natural killer cell degranulation
GO:0043321	regulation of natural killer cell degranulation
GO:0043322	negative regulation of natural killer cell degranulation
GO:0043323	positive regulation of natural killer cell degranulation
GO:0043324	pigment metabolic process involved in developmental pigmentation
GO:0043325	phosphatidylinositol-3,4-bisphosphate binding
GO:0043326	chemotaxis to folate
GO:0043327	chemotaxis to cAMP
GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
GO:0043330	response to exogenous dsRNA
GO:0043331	response to dsRNA
GO:0043332	mating projection tip
GO:0043333	2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity
GO:0043334	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
GO:0043335	protein unfolding
GO:0043353	enucleate erythrocyte differentiation
GO:0043363	nucleate erythrocyte differentiation
GO:0043364	glycyl-radical enzyme activating activity
GO:0043365	[formate-C-acetyltransferase]-activating enzyme activity
GO:0043366	beta selection
GO:0043367	CD4-positive, alpha-beta T cell differentiation
GO:0043368	positive T cell selection
GO:0043369	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment
GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation
GO:0043371	negative regulation of CD4-positive, alpha-beta T cell differentiation
GO:0043372	positive regulation of CD4-positive, alpha-beta T cell differentiation
GO:0043373	CD4-positive, alpha-beta T cell lineage commitment
GO:0043374	CD8-positive, alpha-beta T cell differentiation
GO:0043375	CD8-positive, alpha-beta T cell lineage commitment
GO:0043376	regulation of CD8-positive, alpha-beta T cell differentiation
GO:0043377	negative regulation of CD8-positive, alpha-beta T cell differentiation
GO:0043378	positive regulation of CD8-positive, alpha-beta T cell differentiation
GO:0043379	memory T cell differentiation
GO:0043380	regulation of memory T cell differentiation
GO:0043381	negative regulation of memory T cell differentiation
GO:0043382	positive regulation of memory T cell differentiation
GO:0043383	negative T cell selection
GO:0043385	mycotoxin metabolic process
GO:0043386	mycotoxin biosynthetic process
GO:0043387	mycotoxin catabolic process
GO:0043388	positive regulation of DNA binding
GO:0043390	aflatoxin B1 metabolic process
GO:0043392	negative regulation of DNA binding
GO:0043393	regulation of protein binding
GO:0043394	proteoglycan binding
GO:0043395	heparan sulfate proteoglycan binding
GO:0043397	regulation of corticotropin-releasing hormone secretion
GO:0043398	HLH domain binding
GO:0043399	tRNA A64-2'-O-ribosylphosphate transferase activity
GO:0043400	cortisol secretion
GO:0043401	steroid hormone mediated signaling pathway
GO:0043402	glucocorticoid mediated signaling pathway
GO:0043403	skeletal muscle tissue regeneration
GO:0043404	corticotropin-releasing hormone receptor activity
GO:0043405	regulation of MAP kinase activity
GO:0043406	positive regulation of MAP kinase activity
GO:0043407	negative regulation of MAP kinase activity
GO:0043408	regulation of MAPK cascade
GO:0043409	negative regulation of MAPK cascade
GO:0043410	positive regulation of MAPK cascade
GO:0043412	macromolecule modification
GO:0043413	macromolecule glycosylation
GO:0043414	macromolecule methylation
GO:0043415	positive regulation of skeletal muscle tissue regeneration
GO:0043416	regulation of skeletal muscle tissue regeneration
GO:0043417	negative regulation of skeletal muscle tissue regeneration
GO:0043418	homocysteine catabolic process
GO:0043419	urea catabolic process
GO:0043420	anthranilate metabolic process
GO:0043421	anthranilate catabolic process
GO:0043422	protein kinase B binding
GO:0043423	3-phosphoinositide-dependent protein kinase binding
GO:0043424	protein histidine kinase binding
GO:0043425	bHLH transcription factor binding
GO:0043426	MRF binding
GO:0043427	carbon fixation by 3-hydroxypropionate cycle
GO:0043430	2-decaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
GO:0043433	negative regulation of DNA-binding transcription factor activity
GO:0043434	response to peptide hormone
GO:0043435	response to corticotropin-releasing hormone
GO:0043436	oxoacid metabolic process
GO:0043438	acetoacetic acid metabolic process
GO:0043443	acetone metabolic process
GO:0043446	cellular alkane metabolic process
GO:0043447	alkane biosynthetic process
GO:0043448	alkane catabolic process
GO:0043449	cellular alkene metabolic process
GO:0043450	alkene biosynthetic process
GO:0043451	alkene catabolic process
GO:0043455	regulation of secondary metabolic process
GO:0043456	regulation of pentose-phosphate shunt
GO:0043457	regulation of cellular respiration
GO:0043458	ethanol biosynthetic process involved in glucose fermentation to ethanol
GO:0043461	proton-transporting ATP synthase complex assembly
GO:0043462	regulation of ATPase activity
GO:0043464	malolactic fermentation
GO:0043465	regulation of fermentation
GO:0043467	regulation of generation of precursor metabolites and energy
GO:0043470	regulation of carbohydrate catabolic process
GO:0043471	regulation of cellular carbohydrate catabolic process
GO:0043473	pigmentation
GO:0043474	pigment metabolic process involved in pigmentation
GO:0043476	pigment accumulation
GO:0043478	pigment accumulation in response to UV light
GO:0043479	pigment accumulation in tissues in response to UV light
GO:0043480	pigment accumulation in tissues
GO:0043481	anthocyanin accumulation in tissues in response to UV light
GO:0043482	cellular pigment accumulation
GO:0043484	regulation of RNA splicing
GO:0043485	endosome to pigment granule transport
GO:0043486	histone exchange
GO:0043487	regulation of RNA stability
GO:0043488	regulation of mRNA stability
GO:0043489	RNA stabilization
GO:0043490	malate-aspartate shuttle
GO:0043491	protein kinase B signaling
GO:0043493	viral terminase complex
GO:0043494	CLRC ubiquitin ligase complex
GO:0043495	protein membrane anchor
GO:0043496	regulation of protein homodimerization activity
GO:0043497	regulation of protein heterodimerization activity
GO:0043500	muscle adaptation
GO:0043501	skeletal muscle adaptation
GO:0043502	regulation of muscle adaptation
GO:0043503	skeletal muscle fiber adaptation
GO:0043504	mitochondrial DNA repair
GO:0043505	CENP-A containing nucleosome
GO:0043506	regulation of JUN kinase activity
GO:0043507	positive regulation of JUN kinase activity
GO:0043508	negative regulation of JUN kinase activity
GO:0043509	activin A complex
GO:0043511	inhibin complex
GO:0043512	inhibin A complex
GO:0043513	inhibin B complex
GO:0043514	interleukin-12 complex
GO:0043515	kinetochore binding
GO:0043516	regulation of DNA damage response, signal transduction by p53 class mediator
GO:0043517	positive regulation of DNA damage response, signal transduction by p53 class mediator
GO:0043518	negative regulation of DNA damage response, signal transduction by p53 class mediator
GO:0043519	regulation of myosin II filament organization
GO:0043520	regulation of myosin II filament assembly
GO:0043521	regulation of myosin II filament disassembly
GO:0043522	leucine zipper domain binding
GO:0043523	regulation of neuron apoptotic process
GO:0043524	negative regulation of neuron apoptotic process
GO:0043525	positive regulation of neuron apoptotic process
GO:0043527	tRNA methyltransferase complex
GO:0043528	tRNA (m2G10) methyltransferase complex
GO:0043529	GET complex
GO:0043530	adenosine 5'-monophosphoramidase activity
GO:0043531	ADP binding
GO:0043532	angiostatin binding
GO:0043533	inositol 1,3,4,5 tetrakisphosphate binding
GO:0043534	blood vessel endothelial cell migration
GO:0043535	regulation of blood vessel endothelial cell migration
GO:0043536	positive regulation of blood vessel endothelial cell migration
GO:0043537	negative regulation of blood vessel endothelial cell migration
GO:0043538	regulation of actin phosphorylation
GO:0043539	protein serine/threonine kinase activator activity
GO:0043540	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex
GO:0043541	UDP-N-acetylglucosamine transferase complex
GO:0043542	endothelial cell migration
GO:0043543	protein acylation
GO:0043545	molybdopterin cofactor metabolic process
GO:0043546	molybdopterin cofactor binding
GO:0043547	positive regulation of GTPase activity
GO:0043548	phosphatidylinositol 3-kinase binding
GO:0043549	regulation of kinase activity
GO:0043550	regulation of lipid kinase activity
GO:0043551	regulation of phosphatidylinositol 3-kinase activity
GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity
GO:0043553	negative regulation of phosphatidylinositol 3-kinase activity
GO:0043555	regulation of translation in response to stress
GO:0043558	regulation of translational initiation in response to stress
GO:0043559	insulin binding
GO:0043560	insulin receptor substrate binding
GO:0043562	cellular response to nitrogen levels
GO:0043564	Ku70:Ku80 complex
GO:0043565	sequence-specific DNA binding
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway
GO:0043568	positive regulation of insulin-like growth factor receptor signaling pathway
GO:0043569	negative regulation of insulin-like growth factor receptor signaling pathway
GO:0043570	maintenance of DNA repeat elements
GO:0043571	maintenance of CRISPR repeat elements
GO:0043572	plastid fission
GO:0043574	peroxisomal transport
GO:0043576	regulation of respiratory gaseous exchange
GO:0043577	chemotropism
GO:0043578	nuclear matrix organization
GO:0043583	ear development
GO:0043584	nose development
GO:0043585	nose morphogenesis
GO:0043586	tongue development
GO:0043587	tongue morphogenesis
GO:0043588	skin development
GO:0043589	skin morphogenesis
GO:0043590	bacterial nucleoid
GO:0043591	endospore external encapsulating structure
GO:0043592	exosporium
GO:0043596	nuclear replication fork
GO:0043599	nuclear DNA replication factor C complex
GO:0043601	nuclear replisome
GO:0043603	cellular amide metabolic process
GO:0043604	amide biosynthetic process
GO:0043605	cellular amide catabolic process
GO:0043606	formamide metabolic process
GO:0043609	regulation of carbon utilization
GO:0043610	regulation of carbohydrate utilization
GO:0043614	multi-eIF complex
GO:0043615	astrocyte cell migration
GO:0043616	keratinocyte proliferation
GO:0043617	cellular response to sucrose starvation
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress
GO:0043619	regulation of transcription from RNA polymerase II promoter in response to oxidative stress
GO:0043620	regulation of DNA-templated transcription in response to stress
GO:0043621	protein self-association
GO:0043622	cortical microtubule organization
GO:0043624	cellular protein complex disassembly
GO:0043625	delta DNA polymerase complex
GO:0043626	PCNA complex
GO:0043627	response to estrogen
GO:0043628	ncRNA 3'-end processing
GO:0043629	ncRNA polyadenylation
GO:0043630	ncRNA polyadenylation involved in polyadenylation-dependent ncRNA catabolic process
GO:0043631	RNA polyadenylation
GO:0043632	modification-dependent macromolecule catabolic process
GO:0043633	polyadenylation-dependent RNA catabolic process
GO:0043634	polyadenylation-dependent ncRNA catabolic process
GO:0043639	benzoate catabolic process
GO:0043640	benzoate catabolic process via hydroxylation
GO:0043647	inositol phosphate metabolic process
GO:0043648	dicarboxylic acid metabolic process
GO:0043649	dicarboxylic acid catabolic process
GO:0043650	dicarboxylic acid biosynthetic process
GO:0043651	linoleic acid metabolic process
GO:0043652	engulfment of apoptotic cell
GO:0043653	mitochondrial fragmentation involved in apoptotic process
GO:0043654	recognition of apoptotic cell
GO:0043655	extracellular space of host
GO:0043656	intracellular region of host
GO:0043657	host cell
GO:0043659	symbiosome
GO:0043660	bacteroid-containing symbiosome
GO:0043661	peribacteroid membrane
GO:0043662	peribacteroid fluid
GO:0043666	regulation of phosphoprotein phosphatase activity
GO:0043667	pollen wall
GO:0043668	exine
GO:0043679	axon terminus
GO:0043680	filiform apparatus
GO:0043682	copper transmembrane transporter activity, phosphorylative mechanism
GO:0043683	type IV pilus biogenesis
GO:0043684	type IV secretion system complex
GO:0043686	co-translational protein modification
GO:0043687	post-translational protein modification
GO:0043689	cell-cell adhesion involved in flocculation
GO:0043690	cell-cell adhesion involved in flocculation via cell wall protein-carbohydrate interaction
GO:0043691	reverse cholesterol transport
GO:0043692	monoterpene metabolic process
GO:0043693	monoterpene biosynthetic process
GO:0043694	monoterpene catabolic process
GO:0043695	detection of pheromone
GO:0043696	dedifferentiation
GO:0043697	cell dedifferentiation
GO:0043703	photoreceptor cell fate determination
GO:0043704	photoreceptor cell fate specification
GO:0043708	cell adhesion involved in biofilm formation
GO:0043709	cell adhesion involved in single-species biofilm formation
GO:0043710	cell adhesion involved in multi-species biofilm formation
GO:0043711	pilus organization
GO:0043714	(R)-citramalate synthase activity
GO:0043715	2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity
GO:0043716	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity
GO:0043718	2-hydroxymethylglutarate dehydrogenase activity
GO:0043721	4-hydroxybutanoyl-CoA dehydratase activity
GO:0043722	4-hydroxyphenylacetate decarboxylase activity
GO:0043723	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase activity
GO:0043725	2-keto-3-deoxygluconate aldolase activity
GO:0043727	5-amino-4-imidazole carboxylate lyase activity
GO:0043731	6-hydroxynicotinate 3-monooxygenase activity
GO:0043733	DNA-3-methylbase glycosylase activity
GO:0043734	DNA-N1-methyladenine dioxygenase activity
GO:0043737	deoxyribonuclease V activity
GO:0043738	reduced coenzyme F420 dehydrogenase activity
GO:0043739	G/U mismatch-specific uracil-DNA glycosylase activity
GO:0043740	GTP cyclohydrolase IIa activity
GO:0043743	LPPG:FO 2-phospho-L-lactate transferase activity
GO:0043750	phosphatidylinositol alpha-mannosyltransferase activity
GO:0043751	polyphosphate:AMP phosphotransferase activity
GO:0043752	adenosylcobinamide kinase activity
GO:0043754	dihydrolipoyllysine-residue (2-methylpropanoyl)transferase activity
GO:0043755	alpha-ribazole phosphatase activity
GO:0043756	adenosylcobinamide hydrolase activity
GO:0043757	adenosylcobinamide-phosphate synthase activity
GO:0043758	acetate-CoA ligase (ADP-forming) activity
GO:0043761	archaetidylserine synthase activity
GO:0043764	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity
GO:0043765	T/G mismatch-specific endonuclease activity
GO:0043766	Sep-tRNA:Cys-tRNA synthase activity
GO:0043768	S-ribosylhomocysteine lyase activity
GO:0043772	acyl-phosphate glycerol-3-phosphate acyltransferase activity
GO:0043773	coenzyme F420-0 gamma-glutamyl ligase activity
GO:0043774	coenzyme F420-2 alpha-glutamyl ligase activity
GO:0043775	cobyrinate a,c-diamide synthase activity
GO:0043778	cobalt-precorrin-8 methylmutase activity
GO:0043781	cobalt-factor II C20-methyltransferase activity
GO:0043783	oxidoreductase activity, oxidizing metal ions with flavin as acceptor
GO:0043784	cob(II)yrinic acid a,c-diamide reductase activity
GO:0043785	cinnamoyl-CoA:phenyllactate CoA-transferase activity
GO:0043792	enamidase activity
GO:0043795	glyceraldehyde oxidoreductase activity
GO:0043797	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) activity
GO:0043798	glycerate 2-kinase activity
GO:0043799	glycine oxidase activity
GO:0043800	hexulose-6-phosphate isomerase activity
GO:0043801	hexulose-6-phosphate synthase activity
GO:0043802	hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolysing) activity
GO:0043805	indolepyruvate ferredoxin oxidoreductase activity
GO:0043807	3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) activity
GO:0043811	phosphate:acyl-[acyl carrier protein] acyltransferase activity
GO:0043812	phosphatidylinositol-4-phosphate phosphatase activity
GO:0043813	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity
GO:0043814	phospholactate guanylyltransferase activity
GO:0043815	phosphoribosylglycinamide formyltransferase 2 activity
GO:0043817	phosphosulfolactate synthase activity
GO:0043818	precorrin-3B synthase activity
GO:0043819	precorrin-6A synthase (deacetylating) activity
GO:0043822	ribonuclease M5 activity
GO:0043823	spheroidene monooxygenase activity
GO:0043824	succinylglutamate-semialdehyde dehydrogenase activity
GO:0043825	succinylornithine transaminase activity
GO:0043826	sulfur oxygenase reductase activity
GO:0043828	tRNA 2-selenouridine synthase activity
GO:0043829	tRNA-specific adenosine-37 deaminase activity
GO:0043831	thiosulfate dehydrogenase (quinone) activity
GO:0043837	valine dehydrogenase (NAD) activity
GO:0043843	ADP-specific glucokinase activity
GO:0043844	ADP-specific phosphofructokinase activity
GO:0043846	DNA polymerase III, clamp loader complex
GO:0043847	DNA polymerase III, clamp loader chi/psi subcomplex
GO:0043849	Ras palmitoyltransferase activity
GO:0043855	cyclic nucleotide-gated ion channel activity
GO:0043856	anti-sigma factor antagonist activity
GO:0043857	N-acetylornithine carbamoyltransferase activity
GO:0043858	arginine:ornithine antiporter activity
GO:0043860	cyanophycin synthetase activity
GO:0043864	indoleacetamide hydrolase activity
GO:0043865	methionine transmembrane transporter activity
GO:0043866	adenylyl-sulfate reductase (thioredoxin) activity
GO:0043869	alpha-aminoadipate acetyltransferase activity
GO:0043874	acireductone synthase activity
GO:0043876	D-threonine aldolase activity
GO:0043878	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity
GO:0043879	glycolate transmembrane transporter activity
GO:0043880	crotonyl-CoA reductase activity
GO:0043884	CO-methylating acetyl-CoA synthase activity
GO:0043885	carbon-monoxide dehydrogenase (ferredoxin) activity
GO:0043890	N-acetylgalactosamine-6-sulfatase activity
GO:0043891	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity
GO:0043892	methylglyoxal reductase (NADPH-dependent) activity
GO:0043895	cyclomaltodextrin glucanotransferase activity
GO:0043896	glucan 1,6-alpha-glucosidase activity
GO:0043897	glucan 1,4-alpha-maltohydrolase activity
GO:0043900	regulation of multi-organism process
GO:0043901	negative regulation of multi-organism process
GO:0043902	positive regulation of multi-organism process
GO:0043903	regulation of symbiosis, encompassing mutualism through parasitism
GO:0043904	isochorismate pyruvate lyase activity
GO:0043907	Cys-tRNA(Pro) hydrolase activity
GO:0043908	Ser(Gly)-tRNA(Ala) hydrolase activity
GO:0043914	NADPH:sulfur oxidoreductase activity
GO:0043916	DNA-7-methylguanine glycosylase activity
GO:0043917	ribose 1,5-bisphosphate isomerase activity
GO:0043918	cadaverine aminopropyltransferase activity
GO:0043919	agmatine aminopropyltransferase activity
GO:0043921	modulation by host of viral transcription
GO:0043922	negative regulation by host of viral transcription
GO:0043923	positive regulation by host of viral transcription
GO:0043924	suramin binding
GO:0043928	exonucleolytic catabolism of deadenylated mRNA
GO:0043931	ossification involved in bone maturation
GO:0043932	ossification involved in bone remodeling
GO:0043933	protein-containing complex subunit organization
GO:0043934	sporulation
GO:0043935	sexual sporulation resulting in formation of a cellular spore
GO:0043936	asexual sporulation resulting in formation of a cellular spore
GO:0043937	regulation of sporulation
GO:0043938	positive regulation of sporulation
GO:0043939	negative regulation of sporulation
GO:0043940	regulation of sexual sporulation resulting in formation of a cellular spore
GO:0043941	positive regulation of sexual sporulation resulting in formation of a cellular spore
GO:0043942	negative regulation of sexual sporulation resulting in formation of a cellular spore
GO:0043943	regulation of asexual sporulation resulting in formation of a cellular spore
GO:0043946	positive regulation of catalytic activity in other organism involved in symbiotic interaction
GO:0043947	positive regulation by host of symbiont catalytic activity
GO:0043948	positive regulation by symbiont of host catalytic activity
GO:0043949	regulation of cAMP-mediated signaling
GO:0043950	positive regulation of cAMP-mediated signaling
GO:0043951	negative regulation of cAMP-mediated signaling
GO:0043952	protein transport by the Sec complex
GO:0043953	protein transport by the Tat complex
GO:0043954	cellular component maintenance
GO:0043955	3-hydroxypropionyl-CoA synthetase activity
GO:0043956	3-hydroxypropionyl-CoA dehydratase activity
GO:0043957	acryloyl-CoA reductase (NADP+) activity
GO:0043958	acryloyl-CoA reductase activity
GO:0043959	L-erythro-3-methylmalyl-CoA lyase activity
GO:0043966	histone H3 acetylation
GO:0043967	histone H4 acetylation
GO:0043968	histone H2A acetylation
GO:0043969	histone H2B acetylation
GO:0043970	histone H3-K9 acetylation
GO:0043971	histone H3-K18 acetylation
GO:0043972	histone H3-K23 acetylation
GO:0043973	histone H3-K4 acetylation
GO:0043974	histone H3-K27 acetylation
GO:0043977	histone H2A-K5 acetylation
GO:0043979	histone H2B-K5 acetylation
GO:0043980	histone H2B-K12 acetylation
GO:0043981	histone H4-K5 acetylation
GO:0043982	histone H4-K8 acetylation
GO:0043983	histone H4-K12 acetylation
GO:0043984	histone H4-K16 acetylation
GO:0043985	histone H4-R3 methylation
GO:0043987	histone H3-S10 phosphorylation
GO:0043988	histone H3-S28 phosphorylation
GO:0043990	histone H2A-S1 phosphorylation
GO:0043991	histone H2B-S14 phosphorylation
GO:0043992	histone acetyltransferase activity (H3-K9 specific)
GO:0043993	histone acetyltransferase activity (H3-K18 specific)
GO:0043994	histone acetyltransferase activity (H3-K23 specific)
GO:0043995	histone acetyltransferase activity (H4-K5 specific)
GO:0043996	histone acetyltransferase activity (H4-K8 specific)
